Sample_ID	Library	Barcode	EO	EO_normalised	BL_inferred	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason	Outcome_category
Library005_barcode11	5	11	76	EO76	BL3	1	8	8			normal	8.0	Functional		Assigned	Included			Functional
Library005_barcode12	5	12	76	EO76	BL3	1	44	28			low_functional_rate	10.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library005_barcode13	5	13	76	EO76	BL3	1	4	4			normal	2.0	Functional	premature_stop	Assigned	Included			Functional
Library005_barcode14	5	14	76	EO76	BL3	1	68	48			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode15	5	15	76	EO76	BL3	1	12	12			normal	12.0	Functional		Assigned	Included			Functional
Library005_barcode16	5	16	76	EO76	BL3	1	8	8			normal	7.0	Functional	premature_stop	Assigned	Included			Functional
Library005_barcode17	5	17	76	EO76	BL3	1	88	60			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode18	5	18	76	EO76	BL3	1	12	12			normal	12.0	Functional		Assigned	Included			Functional
Library005_barcode19	5	19	76	EO76	BL3	1	8	8			normal	8.0	Functional		Assigned	Included			Functional
Library005_barcode20	5	20	76	EO76	BL3	1	64	48			normal	21.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode21	5	21	76	EO76	BL3	1	36	24			normal	15.0	Functional	premature_stop	Assigned	Included			Functional
Library005_barcode22	5	22	25	EO25	BL5	1	36	24			normal	13.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode23	5	23	25	EO25	BL5	1	40	28			low_functional_rate	13.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode24	5	24	25	EO25	BL5	1	68	40			low_functional_rate	18.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode25	5	25	25	EO25	BL5	1	36	28			low_functional_rate	3.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode26	5	26	25	EO25	BL5	1	20	16			low_functional_rate	3.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library005_barcode27	5	27	25	EO25	BL5	1	8	8			normal	7.0	Functional	premature_stop	Assigned	Included			Functional
Library005_barcode28	5	28	25	EO25	BL5	1	36	20			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library005_barcode29	5	29	25	EO25	BL5	1	32	28			low_functional_rate	11.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode30	5	30	25	EO25	BL5	1	40	24			normal	14.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode31	5	31	25	EO25	BL5	1	28	24			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode32	5	32	25	EO25	BL5	1	32	20			normal	16.0	Functional	ambiguous_aa	Assigned	Included			Functional
Library005_barcode33	5	33	25	EO25	BL5	1	36	32			normal	13.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode34	5	34	25	EO25	BL5	1	8	8			normal	8.0	Functional		Assigned	Included			Functional
Library005_barcode35	5	35	25	EO25	BL5	1	28	28			low_functional_rate	11.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library005_barcode36	5	36	25	EO25	BL5	1	56	36			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode37	6	37	27	EO27	BL4	1	72	36			low_functional_rate	7.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode38	6	38	27	EO27	BL4	1	48	44			normal	16.0	Functional	mixed	Assigned	Included			Functional
Library006_barcode39	6	39	27	EO27	BL4	1	84	64			too_many_alleles	0.0	Partial_translation_failure	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: ambiguous_aa(28);premature_stop(18))	Re_DNA_extraction
Library006_barcode40	6	40	27	EO27	BL4	1	36	32			normal	20.0	Functional	mixed	Assigned	Included			Functional
Library006_barcode41	6	41	27	EO27	BL4	1	36	28			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode42	6	42	25	EO25	BL5	1	8	8			normal	8.0	Functional		Assigned	Included			Functional
Library006_barcode43	6	43	76	EO76	BL3	1	28	12			normal	4.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode44	6	44	27	EO27	BL4	1	72	40			low_functional_rate	12.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode45	6	45	27	EO27	BL4	1	4	4			dropped_abundance_filter	0.0	Functional	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(2))	Re_PCR
Library006_barcode46	6	46	27	EO27	BL4	1	20	16			normal	8.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode47	6	47	27	EO27	BL4	1	12	12			normal	8.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode48	6	48	27	EO27	BL4	1	24	24			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode49	6	49	27	EO27	BL4	1	28	28			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode50	6	50	27	EO27	BL4	1	8	8			normal	4.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode51	6	51	27	EO27	BL4	1	28	16			low_functional_rate	4.0	Partial_translation_failure	ambiguous_aa	Assigned	Included			Partial_translation_failure
Library006_barcode52	6	52	27	EO27	BL4	1	36	32			low_functional_rate	7.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode53	6	53	27	EO27	BL4	1	16	12			normal	7.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode54	6	54	27	EO27	BL4	1	52	36			normal	24.0	Functional	mixed	Assigned	Included			Functional
Library006_barcode55	6	55	27	EO27	BL4	1	32	20			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode56	6	56	67	EO67	BL4	1	28	24			low_functional_rate	11.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode57	6	57	67	EO67	BL4	1	16	12			normal	8.0	Functional		Assigned	Included			Functional
Library006_barcode58	6	58	67	EO67	BL4	1	24	24			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library006_barcode59	6	59	67	EO67	BL4	1	32	24			normal	13.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode60	6	60	67	EO67	BL4	1	28	16			normal	12.0	Functional	ambiguous_aa	Assigned	Included			Functional
Library006_barcode61	6	61	67	EO67	BL4	1	16	12			normal	2.0	Functional	premature_stop	Assigned	Included			Functional
Library006_barcode62	6	62	67	EO67	BL4	1	44	40			normal	20.0	Functional	mixed	Assigned	Included			Functional
Library006_barcode63	6	63	67	EO67	BL4	1	20	20			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library006_barcode64	6	64	67	EO67	BL4	1	36	24			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode65	6	65	67	EO67	BL4	1	28	24			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library006_barcode66	6	66	67	EO67	BL4	1	36	24			low_functional_rate	7.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode67	7	67	27	EO27	BL4	1	32	24			low_functional_rate	7.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode68	7	68	27	EO27	BL4	1	32	20			low_functional_rate	4.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode69	7	69	27	EO27	BL4	1	36	20			normal	11.0	Functional	premature_stop	Assigned	Included			Functional
Library007_barcode70	7	70	27	EO27	BL4	1	32	20			normal	11.0	Functional	premature_stop	Assigned	Included			Functional
Library007_barcode71	7	71	27	EO27	BL4	1	12	12			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library007_barcode72	7	72	27	EO27	BL4	1	8	8			normal	8.0	Functional		Assigned	Included			Functional
Library007_barcode73	7	73	27	EO27	BL4	1	48	40			low_functional_rate	19.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library007_barcode74	7	74	27	EO27	BL4	1	36	28			too_many_alleles	0.0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: ambiguous_aa(4);premature_stop(3))	Re_DNA_extraction
Library007_barcode75	7	75	27	EO27	BL4	1	4	4			dropped_abundance_filter	0.0	Functional	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(1))	Re_PCR
Library007_barcode76	7	76	27	EO27	BL4	1	44	40			too_many_alleles	0.0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(12);ambiguous_aa(8))	Re_DNA_extraction
