EO	scenario	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	delta_P_collapsed_vs_baseline
EO67	si_proper	10	0.000	33	11.0	0.321	0.000	55	11.0	0.381	0.000	92	11.0	0.419	0.003	+0.000
EO67	si_proper	20	0.000	33	11.0	0.345	0.000	54	11.0	0.403	0.000	97	11.0	0.447	0.000	-0.004
EO67	si_proper	50	0.000	32	11.0	0.372	0.000	53	11.0	0.419	0.000	96	11.0	0.455	0.000	-0.012
EO67	sc_inbreeding	10	0.000	32	11.0	0.134	0.000	54	11.0	0.188	0.009	90	11.0	0.245	0.026	+0.000
EO67	sc_inbreeding	20	0.000	33	11.0	0.128	0.000	55	11.0	0.183	0.007	90	11.0	0.244	0.025	-0.004
EO67	sc_inbreeding	50	0.006	31	11.0	0.118	0.000	52	11.0	0.183	0.006	86	11.0	0.246	0.025	-0.006
EO67	worst_case	10	0.002	27	11.0	0.133	0.000	47	11.0	0.188	0.008	79	11.0	0.244	0.026	+0.002
EO67	worst_case	20	0.010	25	11.0	0.128	0.000	44	11.0	0.181	0.007	74	11.0	0.245	0.026	+0.006
EO67	worst_case	50	0.032	18	11.0	0.123	0.000	32	11.0	0.181	0.005	55	11.0	0.245	0.024	+0.020
EO70	baseline	10	0.000	348	6.0	0.069	0.050	618	6.0	0.079	0.075	1060	6.0	0.092	0.098	+0.000
EO70	baseline	20	0.002	357	6.0	0.068	0.039	600	6.0	0.078	0.058	1059	6.0	0.092	0.086	+0.000
EO70	baseline	50	0.002	367	6.0	0.068	0.026	620	6.0	0.079	0.043	1087	6.0	0.092	0.072	+0.000
EO70	area_capped	10	0.018	47	6.0	0.064	0.069	66	6.0	0.076	0.100	96	6.0	0.090	0.134	+0.018
EO70	area_capped	20	0.054	45	6.0	0.063	0.054	67	6.0	0.076	0.083	101	6.0	0.091	0.121	+0.052
EO70	area_capped	50	0.130	45	6.0	0.063	0.036	66	6.0	0.076	0.066	97	6.0	0.093	0.109	+0.128
EO70	catastrophe	10	0.002	318	6.0	0.069	0.054	582	6.0	0.079	0.075	998	6.0	0.091	0.100	+0.002
EO70	catastrophe	20	0.004	336	6.0	0.068	0.040	585	6.0	0.078	0.059	1051	6.0	0.090	0.086	+0.002
EO70	catastrophe	50	0.012	336	6.0	0.067	0.028	572	6.0	0.078	0.044	982	6.0	0.091	0.075	+0.010
EO70	K_decline_1pct	10	0.000	331	6.0	0.069	0.053	553	6.0	0.079	0.075	961	6.0	0.091	0.100	+0.000
