Sample_ID	Library	Barcode	input_reads	raw_reads	raw_total_bases	raw_p10_len	raw_median_len	raw_p90_len	raw_n50_len	raw_n_above_3kb	raw_pct_above_3kb	raw_mean_phred_all_bases	raw_mean_phred_per_read	canu_n_contigs_rep1	canu_n_contigs_rep2	canu_n_contigs_rep3	canu_n_contigs_rep4	canu_n_contigs_total	n_combined_contigs	n_unique_contigs	contig_min_len	contig_median_len	contig_max_len	contig_n50	contig_n_in_step4_range	contig_n_below_step4_min	contig_n_above_step4_max	contig_pct_in_step4_range	chim_n_keep	chim_n_drop	chim_median_uniformity	chim_pct_dropped	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	SI_status	Lab_action	Exclusion_stage	pass_si_threshold	failure_mode	recommended_action
Library002_barcode44	Library002	barcode44	544	22152	14696957	111	419	1645	1129	297	1.3407367280606717	32.21	30.67	2.0	1.0	2.0	4.0	9.0	9.0	5.0	1301.0	3360.0	3911.0	3360.0	4.0	1.0	0.0	80.0	4.0	1.0	0.502	20.0	EO67	BL4	4.0	0.0	12.0	4.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode45	Library002	barcode45	514	19386	12333444	100	354	1666	1192	347	1.7899515113999793	32.14	30.34	2.0	2.0	2.0	2.0	8.0	8.0	7.0	3532.0	3535.0	3538.0	3535.0	7.0	0.0	0.0	100.0	7.0	0.0	0.414	0.0	EO52	BL3	8.0	0.0	20.0	8.0	SI	Re-PCR	Step 9 — dropped_abundance_filter	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode46	Library002	barcode46	507	21618	15242815	106	432	1884	1286	437	2.021463595152188	32.23	30.34	2.0	1.0	2.0	5.0	10.0	10.0	9.0	3136.0	3270.0	3545.0	3270.0	5.0	4.0	0.0	55.6	7.0	2.0	0.492	22.2	EO68	BL2	11.0	0.0	9.0	11.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode47	Library002	barcode47	545	18851	11998652	103	386	1596	1109	228	1.2094849079624423	32.02	30.19	2.0	2.0	4.0	2.0	10.0	10.0	9.0	1576.0	3739.0	3913.0	3909.0	7.0	2.0	0.0	77.8	5.0	4.0	0.234	44.4	EO08	BL1	19.0	0.0	9.0	19.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode48	Library002	barcode48	523	18447	11504030	86	376	1598	1092	253	1.3714967203339297	32.18	30.4	3.0	2.0	4.0	1.0	10.0	10.0	10.0	3109.0	3352.0	3355.0	3353.0	9.0	1.0	0.0	90.0	10.0	0.0	0.543	0.0	EO118	BL3	20.0	0.0	16.0	20.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode49	Library002	barcode49	545	20939	13594882	99	410	1653	1107	294	1.4040785137781173	32.1	30.29	1.0	1.0	1.0	3.0	6.0	6.0	5.0	2808.0	3352.0	3362.0	3352.0	4.0	1.0	0.0	80.0	5.0	0.0	0.746	0.0	EO29	BL1	2.0	0.0	14.0	2.0	Insufficient_data	Re-sequence (SI status uncertain)	Step 25b — SI status	False	chimera_dominated	Template-difficult amplicon — re-sequencing won't shift the chimera:clean ratio. Consider primer redesign, different polymerase, or longer-fragment library prep.
Library002_barcode50	Library002	barcode50	539	21982	14369827	97	402	1665	1149	368	1.6740969884450914	32.07	30.04	3.0	2.0	3.0	2.0	10.0	10.0	9.0	1445.0	3402.0	3911.0	3822.0	7.0	2.0	0.0	77.8	6.0	3.0	0.42	33.3	EO24	BL5	14.0	0.0	14.0	14.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode51	Library002	barcode51	536	26200	16823555	97	402	1621	1104	378	1.4427480916030533	32.12	30.1	5.0	3.0	6.0	2.0	16.0	16.0	16.0	2485.0	3360.0	3370.0	3361.0	12.0	4.0	0.0	75.0	12.0	4.0	0.403	25.0	EO18	BL5	32.0	0.0	16.0	32.0	SI	Re-DNA-extraction	Step 9 — too_many_alleles	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode52	Library002	barcode52	532	17190	10736190	100	366	1657	1154	87	0.5061082024432809	31.78	29.85	2.0	1.0	3.0	1.0	7.0	7.0	7.0	3008.0	3298.0	3361.0	3298.0	4.0	3.0	0.0	57.1	5.0	2.0	0.449	28.6	EO702	Unassigned	8.0	0.0	0.0	8.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode53	Library002	barcode53	529	20185	12387760	88	366	1588	1133	287	1.4218479068615308	32.01	29.83	2.0	4.0	3.0	3.0	12.0	12.0	12.0	2922.0	3358.0	3366.0	3358.0	9.0	3.0	0.0	75.0	10.0	2.0	0.363	16.7	EO715	Unassigned	27.0	0.0	9.0	27.0	SI	Re-DNA-extraction	Step 9 — too_many_alleles	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode54	Library002	barcode54	524	16118	9877899	88	378	1501	1039	287	1.7806179426727882	32.31	30.33	2.0	2.0	4.0	4.0	12.0	12.0	11.0	2898.0	3506.0	3520.0	3506.0	8.0	3.0	0.0	72.7	8.0	3.0	0.443	27.3							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library002_barcode55	Library002	barcode55	531	25004	18125244	111	458	1839	1290	437	1.7477203647416413	32.27	30.56	1.0	5.0	5.0	2.0	13.0	13.0	13.0	2393.0	3375.0	3408.0	3375.0	9.0	4.0	0.0	69.2	9.0	4.0	0.236	30.8							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
