Individual	Protein
Library005_barcode08	SRK_protein_048
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_013
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_013
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_044
Library005_barcode09	SRK_protein_013
Library005_barcode09	SRK_protein_044
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_047
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_047
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_047
Library005_barcode10	SRK_protein_044
Library005_barcode10	SRK_protein_047
Library005_barcode10	SRK_protein_044
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode11	SRK_protein_049
Library005_barcode12	SRK_protein_050
Library005_barcode12	SRK_protein_050
Library005_barcode12	SRK_protein_050
Library005_barcode12	SRK_protein_049
Library005_barcode12	SRK_protein_050
Library005_barcode12	SRK_protein_049
Library005_barcode12	SRK_protein_051
Library005_barcode12	SRK_protein_051
Library005_barcode12	SRK_protein_051
Library005_barcode12	SRK_protein_051
Library005_barcode13	SRK_protein_052
Library005_barcode13	SRK_protein_052
Library005_barcode14	SRK_protein_042
Library005_barcode14	SRK_protein_042
Library005_barcode14	SRK_protein_042
Library005_barcode14	SRK_protein_040
Library005_barcode14	SRK_protein_040
Library005_barcode14	SRK_protein_042
Library005_barcode14	SRK_protein_042
Library005_barcode14	SRK_protein_042
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode15	SRK_protein_044
Library005_barcode16	SRK_protein_052
Library005_barcode16	SRK_protein_052
Library005_barcode16	SRK_protein_052
Library005_barcode16	SRK_protein_053
Library005_barcode16	SRK_protein_053
Library005_barcode16	SRK_protein_053
Library005_barcode16	SRK_protein_053
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_040
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_040
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_040
Library005_barcode17	SRK_protein_009
Library005_barcode17	SRK_protein_040
Library005_barcode17	SRK_protein_009
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode18	SRK_protein_012
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode19	SRK_protein_049
Library005_barcode20	SRK_protein_054
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_054
Library005_barcode20	SRK_protein_054
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_054
Library005_barcode20	SRK_protein_054
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_012
Library005_barcode20	SRK_protein_012
Library005_barcode21	SRK_protein_045
Library005_barcode21	SRK_protein_044
Library005_barcode21	SRK_protein_032
Library005_barcode21	SRK_protein_009
Library005_barcode21	SRK_protein_045
Library005_barcode21	SRK_protein_044
Library005_barcode21	SRK_protein_032
Library005_barcode21	SRK_protein_009
Library005_barcode21	SRK_protein_045
Library005_barcode21	SRK_protein_044
Library005_barcode21	SRK_protein_032
Library005_barcode21	SRK_protein_009
Library005_barcode21	SRK_protein_045
